"fig_id","description"
"fig-004041","Battle Droid Security, Dark Red Torso with Tan Print, One Bent Arm, One Straight Arm"
"fig-004042","Chief Tarfful"
"fig-004043","Clone Commander Gree, Kashyyyk Armor, Dark Gray Leg Strap"
"fig-004044","PK-4 Droid"
"fig-004046","C-3PO, Pearl Gold, Colorful Wires, Printed Legs, Restraining Bolt"
"fig-004047","Jawa, Black Strap over Right Shoulder"
"fig-004048","Jawa, Gold Shoulder Strap"
"fig-004049","Owen Lars with Printed Legs"
"fig-004050","R2 Astromech Droid"
"fig-004051","Naboo Security Guard, Medium Nougat Skin"
"fig-004052","Qui-Gon Jinn, Printed Reddish Brown Legs, Cape"
"fig-004053","Obi-Wan Kenobi, Padawan, Printed Legs, Cape"
"fig-004054","Imperial Trooper with Black Helmet and Headset"
"fig-004056","Imperial Crew, Light Bluish Gray Uniform, Dark Bluish Gray Cap, Plain Arms"
"fig-004057","Darth Vader, Tan Skin"
"fig-004058","Imperial Officer / Captain / Commandant / Commander, Dark Bluish Gray Uniform"
"fig-004059","General Maximillian Veers, Sand Blue Helmet"
"fig-004060","Snowtrooper, White Hips, Kama"
"fig-004061","Zeb Orrelios"
"fig-004062","Kanan Jarrus, Black Hair"
"fig-004063","Stormtrooper, Dark Azure Helmet Vents, Angry (Rebels)"
"fig-004064","Guido"
"fig-004065","Bith Musician"
"fig-004066","Greedo, Sand Green Skin, No Knee Strap"
"fig-004067","Sandtrooper, Black Pauldron, Neck Bracket with Single Stud"
"fig-004068","RA-7 Protocol Droid, Dark Bluish Gray"
"fig-004069","Ithorian Jedi Master"
"fig-004070","Astromech Droid, Dark Blue"
"fig-004071","Jek-14, White Helmet"
"fig-004072","Ten Numb, Red Outfit"
"fig-004074","Rebel Pilot B-wing, Gray Squadron"
"fig-004075","General Airen Cracken"
"fig-004076","Dak Ralter, Printed Visor, White Hands"
"fig-004077","Luke Skywalker, Orange Rebel Pilot Outfit, Light Bluish Gray Hips, White Hands, Visor on Both Sides of Head"
"fig-004078","C1-10P (Chopper), Light Bluish Gray"
"fig-004079","Ezra Bridger with Helmet"
"fig-004081","Clone Shock Trooper, Red Markings, Brown Eyes"
"fig-004082","Anakin Skywalker, Black Robe, Dark Brown Legs (Clone Wars)"
"fig-004083","Bespin Guard, Jacket with Gold Trim"
"fig-004084","Han Solo, White Shirt, Reddish Brown Legs, Dual Sided Head Open Mouth / Closed Eyes"
"fig-004085","Boba Fett, Helmet, Jetpack Neckwear, Dark Tan Pauldron, Printed Arms, Smile"
"fig-004086","Clone Trooper Lieutenant, Dark Azure Markings, Printed Legs"
"fig-004087","Wookie - Wullffwarro"
"fig-004088","Wookiee with Printed Arms"
"fig-004089","Agent Alexsandr Kallus, Helmet"
"fig-004090","Imperial Officer / Captain / Commandant / Commander, Dark Tan Uniform"
"fig-004091","The Grand Inquisitor"
"fig-004093","Tusken Raider, Head Spikes, Crossed Shoulder Belts"
"fig-004094","T-16 Skyhopper Pilot, Dark Red Outfit"
"fig-004095","Shadow Guard"
"fig-004096","Shadow Stormtrooper, Pearl Dark Gray"
"fig-004097","Stormtrooper, Dark Azure Helmet Vents, Closed Mouth (Rebels)"
"fig-004098","Anakin Skywalker, Child, Dark Tan Hair, White Pupils"
"fig-004100","Naboo Fighter Pilot, Medium Nougat Jacket"
"fig-004101","Droideka / Destroyer Droid, Reddish Brown Shell, Triangular Panels"
"fig-004102","Captain Tarpals"
"fig-004103","Naboo Security Officer, Light Nougat Skin"
"fig-004104","Ezra Bridger"
"fig-004105","Sabine Wren with Dark Blue and Orange Hair"
"fig-004106","Clone Trooper, Geonosis"
"fig-004107","Clone Trooper, Geonosis, Airborne"
"fig-004109","Senate Commando Captain, Printed Legs"
"fig-004110","Senate Commando, Printed Legs"
"fig-004112","Asajj Ventress, White Outfit"
"fig-004113","Gungan Warrior, Dark Tan Legs, Dark Brown Hands"
"fig-004114","First Order Officer / Lieutenant / Captain, Medium Nougat Skin"
"fig-004115","First Order Crew Member / Fleet Engineer / Gunner, Light Nougat Skin"
"fig-004117","TIE Pilot, First Order, Two White Lines on Helmet"
"fig-004119","Snowtrooper Officer, First Order, Pauldron, Kama, Neck Bracket"
"fig-004120","Snowtrooper, First Order, Kama, Neck Bracket"
"fig-004121","Wedge Antilles, Printed Legs, White Hands"
"fig-004122","Wes Janson"
"fig-004123","Toryn Farr"
"fig-004124","K-3PO with Printed Legs"
"fig-004125","R3-A2"
"fig-004126","Luke Skywalker, Hoth Outfit, White Hat"
"fig-004127","Rebel Officer in Hoth Outfit, White Hat"
"fig-004128","Han Solo, Hoth Outfit, Dark Brown Jacket with White Neckerchief"
"fig-004129","Rebel Trooper in Hoth Uniform, White Hat, Dark Tan Jacket, Beard"
"fig-004130","Rebel Trooper in Hoth Uniform, White Hat, Dark Tan Jacket"
"fig-004131","Rebel Trooper in Hoth Uniform, White Hat, White Jacket, Cheek Lines"
"fig-004132","Rebel Trooper in Hoth Uniform, White Hat, White Jacket, Tan Beard, Backpack"
"fig-004133","Rebel Trooper in Hoth Uniform, White Hat, White Jacket"
"fig-004134","Watto, Printed Head, Tan Hands"
"fig-004135","Qui-Gon Jinn, Printed Reddish Brown Legs, Poncho"
"fig-004137","Darth Maul, Horns, Printed Legs, Cape"
"fig-004138","TIE Pilot, Printed Legs, Printed Arms"
"fig-004139","Rebel Trooper in Endor Uniform, Olive Green Legs, Tan Beard"
"fig-004140","Han Solo, Endor Outfit, Long Jacket"
"fig-004141","Princess Leia, Endor Outfit, Poncho"
"fig-004142","Rebel Trooper in Endor Uniform, Olive Green Legs"
"fig-004143","Imperial Astromech Droid, Black"
"fig-004144","Agent Alexsandr Kallus, Hair"
"fig-004146","Kylo Ren, Black Head"
"fig-004147","General Hux, Cap"
"fig-004148","Stormtrooper Officer, First Order, Dark Red Pauldron"
"fig-004149","First Order Officer / Lieutenant / Captain, Female"
"fig-004150","First Order Crew Member / Fleet Engineer / Gunner, Reddish Brown Skin"
"fig-004151","Captain Phasma"
"fig-004152","Resistance Soldier, Hair"
"fig-004153","Resistance Soldier, Female, Hair"
"fig-004154","First Order Flametrooper with Neck Bracket"
"fig-004155","Resistance Ground Crew"
"fig-004156","Poe Dameron, Dark Orange Pilot Outfit, Helmet with Visor"
"fig-004157","Resistance Pilot X-wing"
"fig-004158","R2-BHD, Astromech Droid, Dark Bluish Gray Body"
"fig-004159","Dutch Vander / Rebel Pilot Y-wing, Printed Legs, Visor"
"fig-004160","R3-T2, Astromech Droid"
"fig-004161","Jawa, Black Strap over Left Shoulder"
"fig-004162","Mace Windu, Dark Tan Printed Legs, Closed Mouth"
"fig-004163","R5-A2"
"fig-004164","RA-7 Protocol Droid, Pearl Dark Gray"
"fig-004165","2-1B Medical Droid, Tan Torso"
"fig-004166","Sandtrooper Squad Leader / Captain, Orange Pauldron, Neck Bracket, Dual Molded Helmet, Open Mouth"
"fig-004167","Crook, White Vest, Orange Legs, Black Hair"
"fig-004168","Battle Droid, Kashyyyk"
"fig-004169","Rebel Trooper in Hoth Uniform, White Hat, White Jacket, Tan Beard, No Backpack"
"fig-004170","Naare with Dark Blue Hood"
"fig-004171","Dengar, White Head, Dark Brown Legs"
"fig-004172","Zev Senesca / Snowspeeder Pilot with Pearl Dark Gray Helmet"
"fig-004173","Will Scotian / Snowspeeder Gunner"
"fig-004174","Princess Leia / General Leia, Plain Undershirt"
"fig-004175","Admiral Ackbar, Medium Nougat Outfit"
"fig-004176","Resistance Soldier, Dark Tan Helmet, Dark Tan Shirt, Cheek Lines"
"fig-004177","Resistance Soldier, Dark Tan Helmet, Dark Tan Shirt with Two Pockets and Resistance Insignia"
"fig-004178","Maz Kanata"
"fig-004179","Kylo Ren, Black Hands, 23901 Cape"
"fig-004180","Han Solo, Hoth Outfit, Dark Brown Hood"
"fig-004181","Ugnaught, Dark Blue Overalls"
"fig-004182","Boba Fett, Helmet, Jetpack Neckwear, Dark Tan Pauldron, Plain Arms"
"fig-004183","Han Solo, White Shirt, Dark Brown Legs, Dual Sided Head Open Mouth / Closed Eyes, Smooth Hair"
"fig-004184","R4-P17 with Silver Band on Dome"
"fig-004185","Obi-Wan Kenobi, Dark Tan Printed Legs, Headset"
"fig-004187","Imperial Crew, Light Bluish Gray Uniform, Black Cap, Closed Mouth"
"fig-004189","Imperial Shock Trooper, Red Markings, Black Eyes"
"fig-004190","Jumptrooper, Jet Pack"
"fig-004191","Rodian Alliance Fighter"
"fig-004192","Duros Alliance Fighter with Jet Pack"
"fig-004193","Rebel Trooper, Dark Tan Helmet and White Snow Goggles"
"fig-004194","Rebel Trooper, Helmet, Jet Pack"
"fig-004195","First Order Crew Member, Reddish Brown Skin, Black Hat"
"fig-004197","Stormtrooper, First Order, / Heavy Assault Stormtrooper, No Neck Bracket"
"fig-004198","Resistance Officer, Printed Headset"
"fig-004199","Resistance Soldier, Dark Tan Helmet, Dark Tan Shirt"
"fig-004200","Resistance Soldier, Dark Tan Helmet, Tan Shirt, Cheek Lines"
"fig-004201","Resistance Soldier, Dark Tan Helmet, Tan Shirt, Moustache"
"fig-004202","Rebel Pilot U-wing, Dark Blue Flight Suit, Helmet with Molded Visor"
"fig-004203","Commander Sato"
"fig-004204","Ahsoka Tano, Adult"
"fig-004205","Imperial Inquisitor Fifth Brother - Dark Bluish Grey"
"fig-004206","Captain Rex, Old"
"fig-004207","Clone Commander Gregor, Old"
"fig-004208","Clone Commander Wolffe, Old"
"fig-004209","Bodhi Rook"
"fig-004210","Director Orson Callan Krennic"
"fig-004211","K-2SO"
"fig-004212","Imperial Death Trooper / Specialist / Commander"
"fig-004213","Pao"
"fig-004214","Bistan"
"fig-004215","Cassian Andor in Dark Blue Outfit"
"fig-004216","Jyn Erso, Poncho, Goggles"
"fig-004217","Rebel Pilot U-wing / Y-wing, Dark Blue Flight Suit, Black and White Checks on Helmet"
"fig-004218","Corporal Eskro Casrich / Rebel Trooper"
"fig-004219","Scarif Stormtrooper / Shoretrooper Captain"
"fig-004220","Technician Kent Deezling / Imperial Ground Crew"
"fig-004221","Private Basteren / Rebel Trooper"
"fig-004222","Baze Malbus with Neck Bracket"
"fig-004223","Imperial AT-ST Driver, Helmet with Printed Goggles"
"fig-004224","Lieutenant Sefla / Rebel Trooper"
"fig-004225","Chirrut Imwe"
"fig-004226","Imperial Hovertank Pilot"
"fig-004227","Luminara Unduli, Dark Brown Hat and Cape"
"fig-004228","Quinlan Vos, Dark Brown Legs"
"fig-004230","Darth Vader, White Skin, 19888 Cape (Rebels)"
"fig-004231","Sabine Wren with Dark Blue and Bright Green Hair"
"fig-004232","Rebel Pilot A-wing, Female, Sand Blue Uniform"
"fig-004233","Grand Moff Wilhuff Tarkin, Dark Tan"
"fig-004234","Lor San Tekka"
"fig-004236","Poe Dameron, Open Medium Nougat Jacket"
"fig-004237","Zander, Sand Blue Jacket"
"fig-004238","Rowan, Yellow Jacket"
"fig-004239","Kordi, Sand Blue Legs"
"fig-004240","Imperial Death Trooper"
"fig-004241","First Order Officer / Major / Colonel, Dark Blue Uniform"
"fig-004242","4-LOM"
"fig-004243","Bossk, Bright Light Yellow Outfit"
"fig-004244","IG-88, Printed Head, Tile with Clip and 1x1 Round Plate on Back"
"fig-004245","Rose Tico"
"fig-004246","Finn, Tan Undershirt, Pearl Dark Gray Legs"
"fig-004247","Rebel Pilot A-wing, Green Uniform, White Pupils"
"fig-004248","Lando Calrissian, Sand Blue Cape, Light Bluish Gray Legs"
"fig-004249","Rebel Technician / Ground Crew, Dark Tan Uniform, Printed Headset"
"fig-004250","Skiff Guard"
"fig-004251","Boba Fett, Helmet, Jetpack Neckwear, Olive Green Pauldron, Light Bluish Gray Hips"
"fig-004252","Han Solo, White Shirt, Dark Brown Legs, Dual Sided Head Open Mouth / Closed Eyes with Closed Mouth, Ruffled Hair"
"fig-004253","R3-S1, Astromech Droid"
"fig-004254","Admiral Raddus"
"fig-004255","Moroff"
"fig-004256","Scarif Stormtrooper / Shoretrooper"
"fig-004257","Jyn Erso, Imperial Ground Crew Disguise"
"fig-004258","Cassian Andor in Reddish Brown Jacket"
"fig-004259","Admiral Thrawn, White Legs"
"fig-004260","Kanan Jarrus, Blind"
"fig-004261","Obi-Wan Kenobi, Padawan, Printed Legs"
"fig-004262","Qui-Gon Jinn, Printed Reddish Brown Legs, No Cape"
"fig-004263","Rowan, Tan Jacket"
"fig-004264","M-OC Hunter Droid"
"fig-004265","Anakin Skywalker, Transformation, White Pupils"
"fig-004266","Medical Droid"
"fig-004267","Aayla Secura, Dark Azure"
"fig-004268","Clone Gunner, Phase II Armor"
"fig-004269","Guavian Security Soldier"
"fig-004270","Bala-Tik"
"fig-004271","BB-9E"
"fig-004273","TIE Pilot, First Order, Two Red Lines on Helmet"
"fig-004274","Kylo Ren, Black Hands, 19888 Cape"
"fig-004276","Stormtrooper, First Order / Heavy Assault Stormtrooper, Neck Bracket"
"fig-004277","General Hux, Hair"
"fig-004279","Resistance Soldier, Female, Olive Green Helmet"
"fig-004280","Rey, Dark Tan Jacket"
"fig-004281","Luke Skywalker, Old, White Robes"
"fig-004282","First Order Shuttle Pilot"
"fig-004283","Stormtrooper, First Order / Stormtrooper Executioner"
"fig-004284","Kylo Ren, Black Hands"
"fig-004285","Tallissan 'Tallie' Lintra / Resistance Pilot A-wing"
"fig-004286","Nodin Chavdri / Resistance Speeder Pilot"
"fig-004287","First Order Walker Driver"
"fig-004288","Boba Fett, Child, Medium Blue Outfit"
"fig-004289","Jango Fett, Pearl Dark Gray Torso"
"fig-004290","Supreme Leader Snoke"
"fig-004291","First Order Officer / Lieutenant / Captain"
"fig-004292","Stormtrooper Squad Leader, First Order, White Pauldron"
"fig-004293","Rey, Light Bluish Gray Robe"
"fig-004295","Poe Dameron, Black Jacket"
"fig-004296","Resistance Soldier, Olive Green Helmet, Dark Tan Hoodie"
"fig-004297","Poe Dameron, Dark Orange Outfit"
"fig-004298","Vice Admiral Holdo"
"fig-004299","Resistance Gunner Paige"
"fig-004300","Nix Jerd / Resistance Bombardier"
"fig-004301","Finch Dallow / Resistance Bomber Pilot"
"fig-004302","Resistance Pilot Bomber"
"fig-004303","Han Solo, White Jacket"
"fig-004304","Qi'ra, Flat Silver Jacket"
"fig-004305","Yoda, Olive Green Head, Belt and Flute"
"fig-004306","R2-D2, Flat Silver Dome, Dirt Stains"
"fig-004307","Luke Skywalker, Dagobah Outfit, Tan Tank Top with Neck Bracket"
"fig-004308","Imperial Recruitment Officer / Chief / Navy Captain"
"fig-004309","Corporal Zuzanu Latt / Imperial Emigration Officer / Imperial Navy Trooper"
"fig-004310","Imperial Patrol Trooper"
"fig-004311","Greedo, Sand Green Skin, Knee Strap"
"fig-004312","Wuher"
"fig-004314","Sandtrooper Sergeant, White Pauldron, Neck Bracket"
"fig-004315","Rose Tico in First Order Officer Disguise"
"fig-004316","Finn, First Order Officer Uniform Disguise"
"fig-004317","R2-Q2 with Large Red Dots"
"fig-004318","Biggs Darklighter, Helmet with Trans-Yellow Visor"
"fig-004319","Luke Skywalker, Orange Rebel Pilot Outfit, Light Bluish Gray Hips, Black Hands, Helmet with Visor"
"fig-004321","Chewbacca, Crossed Bandoliers and Goggles"
"fig-004322","Han Solo, Dark Brown Fur Coat and Printed Goggles"
"fig-004323","Range Trooper"
"fig-004324","Imperial Gunner, Black Collar"
"fig-004325","Elite Praetorian Guard, Pointed Helmet, Skirt"
"fig-004326","Weazel"
"fig-004327","Enfys Nest"
"fig-004328","Tobias Beckett, Long Dark Tan Coat"
"fig-004329","DD-BD"
"fig-004330","Chewbacca, Crossed Bandoliers"
"fig-004331","S1D6-SA-5, Kessel Operations Droid"
"fig-004332","Lando Calrissian, Young, Short Cape with Collar"
"fig-004333","Qi'ra, Tan Jacket"
"fig-004334","Quay Tolsite"
"fig-004335","Han Solo, Reddish Brown Jacket"
"fig-004336","Tobias Beckett, Imperial Mudtrooper Disguise"
"fig-004337","Stormtrooper / Swamptrooper, Mimban Armor"
"fig-004338","TIE Pilot, Printed Legs, 3 Silver Buckles on Belt"
"fig-004339","Han Solo, Mudtrooper Outfit, Dark Bluish Gray"
"fig-004340","Moloch"
"fig-004341","Rebolt"
"fig-004342","Elite Praetorian Guard, Pointed Helmet"
"fig-004343","Elite Praetorian Guard, Flat Helmet"
"fig-004344","Ugnaught, Light Bluish Gray Jacket"
"fig-004345","Boba Fett, Helmet, Jetpack Neckwear, Dark Tan Pauldron, Printed Arms, Stern"
"fig-004346","Bespin Guard, Moustache"
"fig-004347","Lando Calrissian, Sand Blue and Dark Orange Cape"
"fig-004348","Lobot, Medium Nougat Eyebrows"
"fig-004349","Luke Skywalker, Cloud City Outfit, Dark Tan Shirt"
"fig-004350","Princess Leia, Cloud City Outfit, Skirt"
"fig-004351","Princess Leia, Hoth Outfit, White Jacket"
"fig-004352","Han Solo, Dark Blue Jacket, Dark Brown and Black Dual Molded Legs"
"fig-004353","Sandtrooper, Black Pauldron, Neck Bracket with Double Stud, Open Mouth"
"fig-004355","Sandtrooper Squad Leader / Captain, Orange Pauldron, Neck Bracket"
"fig-004356","Val"
"fig-004357","Rio Durant"
"fig-004358","Qi'ra, Medium Nougat Fur Coat"
"fig-004359","Dryden's Guard / Hylobon Enforcer with Open Mouth"
"fig-004360","Dryden's Guard / Hylobon Enforcer with Closed Mouth"
"fig-004361","Zuckuss"
"fig-004362","Astromech Droid, Dark Turquoise / K3-R1"
"fig-004363","Bandit - Western, Black Jacket, Black Handkerchief, Brown Hat"
"fig-004364","Bandit - Western, Red Shirt, Black Handkerchief, Brown Hat"
"fig-004367","Bandit - Western, Green Suit, Top Hat"
"fig-004368","Cavalry Lieutenant - Hat, White Bandana"
"fig-004369","Cavalry Soldier - White Handkerchief"
"fig-004370","Indian - Woman, Tan Clothing, Red Trim, Quiver"
"fig-004371","Indian - Red Shirt"
"fig-004372","Indian, Red Shirt, Quiver"
"fig-004373","Cavalry Lieutenant - Hat"
"fig-004374","Cavalry Soldier"
"fig-004375","Cowboy - Red Shirt"
"fig-004376","Sheriff"
"fig-004377","Banker - Western"
"fig-004378","Cowboy - Blue Shirt"
"fig-004379","Viking Warrior - Chain Mail, Red Band"
"fig-004380","Viking Warrior - Chain Mail, Sand Green Arms"
"fig-004381","Viking Warrior - Armour, Sand Blue Arms"
"fig-004382","Viking Warrior - Armour, Sand Blue Arms, Reddish Brown Legs"
"fig-004383","Viking Warrior - Armour, Dark Red Arms"
"fig-004384","Viking Warrior - Armour, Bare Arms"
"fig-004385","Man - Blue Shirt, White Arm, Light Gray Legs"
"fig-004386","Woman - Red/White Striped Shirt, Red Arms, Red Legs (3626b Head)"
"fig-004387","Man - Blue Torso, Black Legs"
"fig-004388","Woman - White Torso, Red Legs"
"fig-004389","Woman - Red Torso, Light Gray Legs"
"fig-004390","Man - Red Torso, Blue Legs"
"fig-004391","Woman - White Torso, Black Legs"
"fig-004392","Man - Black Suit"
"fig-004393","Woman - White Torso, Red Necklace, White Legs"
"fig-004394","Woman - Blue Torso, White Legs"
"fig-004395","Man - Red/White Striped Shirt, Red Arms, White Legs, Red Hat"
"fig-004396","Racer - Octan, Red Torso, Green Legs, White Helmet"
"fig-004397","White Torso, Blue Overalls, Brown Hair (3626b Head)"
"fig-004398","Man - blue Torso, Red Legs"
"fig-004399","Woman - Black Torso, White Legs"
"fig-004400","Man - Red Torso, Black Legs"
"fig-004401","Woman - Blue Torso, Red Legs"
"fig-004402","Woman - Blue Torso, Blue Legs"
"fig-004403","Major Vonreg"
"fig-004404","Kaz Xiono"
"fig-004405","R1-J5 (Bucket)"
"fig-004406","Princess Leia / General Leia, Dark Tan Turtle-neck"
"fig-004408","Snowtrooper, White Hips, Printed Legs, Dark Tan Hands (3626cpr1149 Head)"
"fig-004409","Rebel Trooper in Hoth Uniform, Dark Tan Hat, Dark Brown Beard"
"fig-004410","Scout Trooper, Dual Molded White and Black Helmet, Open Mouth"
"fig-004411","Stormtrooper, Dark Bluish Gray Squares on Back of Helmet"
"fig-004412","Luke Skywalker, Orange Rebel Pilot Outfit, Light Bluish Gray Hips, Black Hands, Printed Visor"
"fig-004413","Stormtrooper, Black Squares on Back of Helmet, Open Mouth"
"fig-004414","Clone Commander Gree, Kashyyyk Armor, Dark Tan Leg Strap"
"fig-004416","Clone Trooper, 41st Elite Corps Scout Battalion Armor, Dark Tan Thighs (Kashyyyk)"
"fig-004417","Princess Leia, White Robe, Dark Brown Hair, Decorative Belt, Dual Sided Head Open Mouth / Smile"
"fig-004418","Luke Skywalker, White Robe, Utility Belt, Neck Bracket"
"fig-004419","Bail Organa"
"fig-004420","Knight (Yellow Castle) - Black"
"fig-004421","Captain Antilles, Dark Tan Undershirt, Single Sided Head"
"fig-004422","Princess Leia, White Robe, Skirt"
"fig-004423","Knight (Yellow Castle) - Black with Visor"
"fig-004424","Knight (Yellow Castle) - Blue"
"fig-004425","Princess Leia, White Robe, Yellow Skin (3626c Head)"
"fig-004426","Han Solo, Dark Blue Jacket, Dark Brown Legs"
"fig-004427","Knight (Yellow Castle) - Blue with Visor"
"fig-004428","BB-8, Large Photoreceptor"
"fig-004429","Griff Halloran"
"fig-004431","Poe Dameron, White and Orange Pilot Outfit"
"fig-004432","Rebel Trooper in Hoth Uniform, Dark Tan Hat, White Beard"
"fig-004433","Knight (Yellow Castle) - Red"
"fig-004434","Rebel Trooper in Hoth Uniform, Dark Tan Hat, Frown"
"fig-004435","Rebel Trooper in Hoth Uniform, Dark Tan Hat, Open Mouth"
"fig-004436","Knight (Yellow Castle) - Red with Visor"
"fig-004437","Imperial Transport Pilot / Athex"
"fig-004438","Knight (Yellow Castle) - White"
"fig-004439","Darth Vader, Bacta Tank Outfit"
"fig-004440","Rey, White Robe"
"fig-004441","Knight (Yellow Castle) - White with Visor"
"fig-004442","First Order Treadspeeder Driver"
"fig-004443","First Order Jet Trooper"
"fig-004445","Poe Dameron, White Shirt"
"fig-004447","Snowtrooper, First Order, Cape"
"fig-004448","Lieutenant Connix"
"fig-004449","Temmin 'Snap' Wexley / Resistance Pilot, Lines under Eyes"
"fig-004450","Boolio"
"fig-004451","Lando Calrissian, Old, Dark Azure and Black Cape"
"fig-004452","Finn, Tan Undershirt, Dark Blue Legs"
"fig-004453","General Pryde"
"fig-004454","Sith Trooper, Red"
"fig-004455","Kylo Ren, Helmet with Red Cracks, Cape"
"fig-004456","Ushar / Knight of Ren"
"fig-004457","Ap'lek / Knight of Ren"
"fig-004458","Man - Sunglasses, White Torso with Dolphin, Black Legs, White Cap"
"fig-004459","TV Worker - Blue Torso, Green Legs, Female"
"fig-004460","Klatooinian Raider with Helmet"
"fig-004461","Klatooinian Raider"
"fig-004462","Man - Red/White Striped Shirt, White Arms, Light gray Legs"
"fig-004463","Carasynthia ""Cara"" Dune"
"fig-004464","The Mandalorian / Din Djarin"
"fig-004465","Woman - Gold Necklace, White Torso, Blue Legs, Red Hair"
"fig-004467","Imperial Crew, Light Bluish Gray Uniform, Dark Bluish Gray Cap, Printed Arms"
"fig-004468","Man - White Torso with Blue/Red Stripes, Black Legs"
"fig-004469","Woman - Red Torso, Blue Legs"
"fig-004470","Man - White Torso with Dolphin, Black Legs, Sunglasses"
"fig-004471","Imperial Officer / Lieutenant, Dark Bluish Gray Uniform, Dual Molded Legs"
"fig-004472","Lando Calrissian, Yellow and Blue Cape (3626c Head)"
"fig-004473","Man - White Torso with Blue/Red Stripes, Black Legs, Red Cap"
"fig-004474","Rebel Trooper in Hoth Uniform, Dark Tan Hat, Cheek Lines"
"fig-004475","Man - Blue Octan Torso, White Legs"
"fig-004476","Dak Ralter, Printed Visor, Black Hands"
"fig-004477","Knight (Halved Shield) - Black Legs, Chin-Guard"
"fig-004478","Knight (Quartered Shield) - White Legs, Black Visor"
"fig-004479","Knight (Quartered Shield) - Red Legs, Red Visor"
"fig-004480","Padme Amidala / Naberrie, Dark Tan Tunic, Medium Legs"
"fig-004481","Luke Skywalker, Orange Rebel Pilot Outfit, Yellow Skin, Dark Bluish Gray Hips (3626c Head)"
"fig-004482","Droideka / Destroyer Droid, Dark Brown Shell"
"fig-004483","Yoda, Sand Green Head with Gray Hair, Dark Orange Sash (Clone Wars)"
"fig-004484","Padawan, Female"
"fig-004485","Crix Madine, Tan Legs"
"fig-004486","Knight (Halved Shield) - Light Gray Legs, Neck-Protector"
"fig-004487","Trudgen / Knight of Ren"
"fig-004488","Knight (Quartered Shield) - Black Legs, Black Visor"
"fig-004489","Jannah"
"fig-004490","Vicrul / Knight of Ren"
"fig-004491","Anakin Skywalker, Transformation, Yellow Eyes, Black Legs"
"fig-004492","Obi-Wan Kenobi, Tan Legs, Short Combed Sideways Hair"
"fig-004493","Wedge Antilles, Printed Legs, Black Hands"
"fig-004494","Knight (Thirded Shield) - Black Legs"
"fig-004495","Sith Jet Trooper"
"fig-004496","Sith Fleet Officer"
"fig-004497","Knight (Quartered Shield) - Red Legs, Neck-Protector"
"fig-004498","Han Solo, Black Vest, Yellow Skin, Blue Legs (3626c Head)"
"fig-004499","Imperial Shadow Trooper, Black, Printed Legs"
"fig-004500","T-16 Skyhopper Pilot, Dark Red Outfit, Buckles on Shoulder Straps"
"fig-004501","Sandspeeder Pilot, Dark Red Helmet"
"fig-004502","Sandspeeder Gunner, White Helmet"
"fig-004503","Wookiee Warrior, Dark Brown"
"fig-004504","Darth Vader, Light Bluish Gray Skin, No Scars on Right Cheek (3626c Head)"
"fig-004505","Ki-Adi-Mundi, Printed Legs"
"fig-004506","Barriss Offee, Dark Blue Hood and Cape, Skirt"
"fig-004507","Clone Trooper, Phase I Armor, Angry, Printed Legs (61189 Helmet)"
"fig-004508","Iden Versio / Inferno Squad Commander"
"fig-004509","Inferno Squad Agent, Utility Belt"
"fig-004510","Knight (Quartered Shield) - Red Legs, Neck-Protector (reissue)"
"fig-004511","Inferno Squad Agent, Angry, Open Mouth"
"fig-004512","Inferno Squad Agent, Sunken Eyes"
"fig-004513","Prince (Knights Tournament)"
"fig-004514","Princess (Knights Tournament)"
"fig-004515","Knight (Quartered Shield) - White Legs, Red Visor"
"fig-004516","Knight (Quartered Shield) - Red Legs, Black Visor"
"fig-004517","2-1B Medical Droid, Sand Blue Torso"
"fig-004518","Luke Skywalker, Bacta Tank Outfit, Dark Tan Hair"
"fig-004519","Poe Dameron, Black Jacket, Hair with Headset"
"fig-004520","Admiral Ematt"
"fig-004521","Resistance Soldier, Olive Green Helmet, Dark Tan Hoodie with Ammo Pouch"
"fig-004522","Mandalorian Warrior, Dark Azure"
"fig-004523","Mandalorian Warrior, Dark Blue and Green"
"fig-004524","Blacksmith - Plastic Apron"
"fig-004525","Mandalorian Warrior, Dark Brown"
"fig-004526","Mandalorian Warrior, Dark Tan and Sand Blue"
"fig-004527","Corporal Tonc / Rebel Trooper with Reddish Brown Skin"
"fig-004528","Private Calfor / Rebel Trooper"
"fig-004529","Corporal Rostok / Rebel Trooper with Beard and White Snow Goggles"
"fig-004530","Private Kappehl / Rebel Trooper with Black Beard and White Snow Goggles"
"fig-004531","Blacksmith - Long Beard"
"fig-004532","Blacksmith - Brown Apron"
"fig-004533","Blacksmith - Printed Gray Beard"
"fig-004534","Blacksmith - Black Hair"
"fig-004535","Maggie Simpson, Worried (CMF)"
"fig-004536","Mr. Burns (CMF)"
"fig-004537","Maggie Simpson (CMF)"
"fig-004538","Knight (Crusader Axe) - Black Legs"
"fig-004539","Archer (Crusader Axe) - Black Legs"
"fig-004540","Knight (Crusader Axe) - Black Legs (reissue)"
"fig-004541","Archer (Crusader Axe) - Black Legs (reissue)"
"fig-004542","Homer Simpson with Name Badge"
"fig-004543","Knight (Crusader Axe) - Blue Legs, Chin-Guard"
"fig-004544","Marge Simpson in Apron"
"fig-004545","Ned Flanders in Apron"
"fig-004546","Lisa Simpson"
