"fig_id","description"
"fig-000114","Spyrius"
"fig-000115","TC-4"
"fig-000116","Arctic Crew, Black, White Cap"
"fig-000117","Sumo Wrestler (CMF)"
"fig-000118","Paramedic, Vibrant Yellow Safety Vest, Dark Turquoise Legs, Dark Orange Hair"
"fig-000119","Spaceman (23318 Visor)"
"fig-000120","Santa, Plain Yellow, Black Hips"
"fig-000121","White Torso, Red Legs, Black Hair"
"fig-000122","Legolas Greenleaf"
"fig-000123","Snap Lockitt"
"fig-000124","Chewbacca, Reddish Brown"
"fig-000125","Worriz in Fire Chi Outfit"
"fig-000126","Racer, Yellow and White Outfit with Tiger, Black Diving Helmet with Visor"
"fig-000127","Construction Worker, Blue Overalls, Red Hard Hat"
"fig-000128","Man, White Vest with Truck, Blue Legs, Red Cap (3626a Head)"
"fig-000129","Director"
"fig-000130","White Torso, Black Legs, Dark Brown Hair, Glasses"
"fig-000131","Marge Simpson (CMF)"
"fig-000132","Monster with Black Helmet"
"fig-000133","Man, Plain Blue, White Helmet with Visor"
"fig-000134","Construction Worker, Red Torso, Blue Legs, Red Hard Hat, Yellow Vest"
"fig-000135","Racer, Blue Jumpsuit with Octan Logo, White Helmet with Visor, Yellow Life Vest"
"fig-000136","Paramedic, Vibrant Yellow Safety Vest, Dark Turquoise Legs, Dark Orange Hair, Safety Glasses"
"fig-000137","Soldier (Imperial Soldier) - Bicorne Hat"
"fig-000138","Axel, Trans-Neon Green Visor"
"fig-000139","Worker - Blue Torso, Orange Overall, Black Cap"
"fig-000140","Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Red Hard Hat, Stubble"
"fig-000141","Volcano Explorer, Man, Olive Green Jumpsuit with Straps, White Hard Hat with Visor, Breathing Apparatus, Airtanks, Goatee Beard"
"fig-000142","AT-AT Driver, Sand Blue Uniform"
"fig-000143","Gorzan with Flat Silver Shoulder Armor"
"fig-000144","Luke Skywalker, White Robe, White Legs, Cheek Lines"
"fig-000145","Bard the Bowman"
"fig-000146","Racer, White Shirt with Two Stripes and 'S', White Legs, Blue Helmet with Visor"
"fig-000147","Jor-El"
"fig-000148","Race Driver, Orange Torso, Orange Legs, Red  Helmet"
"fig-000149","Jay ZX with Shoulder Armour"
"fig-000150","Basketball Player, Light Gray torso, Black Legs"
"fig-000151","Worriz with Pearl Gold Shoulder Armor"
"fig-000152","Sandy Moondust"
"fig-000153","Racer, White Jacket with Zipper, Red Helmet with Visor (3626a Head)"
"fig-000154","Basketball Player, Tan Torso, Black Legs"
"fig-000155","Man, Green Jacket, Blue Legs, Red Helmet with Visor, Yellow Life Vest, Blue Sunglasses"
"fig-000156","Ninja, Red"
"fig-000157","Biff Starling"
"fig-000158","Medium Blue Torso, Blue Overall, Blue Cap"
"fig-000159","Race Driver, Red Torso, Red Legs, Red Helmet - Nitro Flash"
"fig-000160","Man, Blue Torso, Red Legs, Red Cap (3626a Head)"
"fig-000161","Chef, Black Apron with Flaming Burger, Black Legs, Red Cap, Glasses"
"fig-000162","Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Red Hard Hat, Goatee Beard"
"fig-000163","Imperial Shadow Trooper, Black, Plain Legs"
"fig-000164","Policeman, Black Jacket with Zipper, Radio, Badge, and 'POLICE' on Back, White Helmet with Visor, Open Mouth"
"fig-000165","Red Torso, Blue Legs, Blue Cap"
"fig-000166","Imperial Officer / Captain / Commandant / Commander, Battle Armor, Black Hips"
"fig-000167","Blue Torso, White Legs, Blue Arctic Hood"
"fig-000168","Soccer Player White Torso with Blue/Red Stripes, Blue Legs, Black Hair"
"fig-000169","Policeman, Dark Blue Jacket with Zipper, Badge, and 'POLICE' on Back, White Helmet with Visor"
"fig-000170","Man - White Torso, Black Legs, Red Hat, Black Legs"
"fig-000171","Rocker Girl"
"fig-000172","White Torso, Green Overall, Green Cap"
"fig-000173","Chess Piece - Crown - Pawn"
"fig-000174","Racer, Red Jacket with Zipper, Red Helmet with Visor (3626a Head)"
"fig-000175","Man, Blue Overalls over Shirt, Blue Legs, Red Cap, Goatee Beard"
"fig-000176","Soccer Player"
"fig-000177","Hockey Player"
"fig-000178","Zombie Driver"
"fig-000179","Mia - Medium Blue Top, Lime Shorts"
"fig-000180","Dastan"
"fig-000181","Man, White Torso with Red and Blue Stripes, White Legs, Red Helmet"
"fig-000182","Man, Black Vest and Tie, Dark Bluish Gray Legs, Black Hair"
"fig-000183","Man, White Vest with Truck, Blue Legs, Blue Cap (3626a Head)"
"fig-000184","King Leo (Knights Kingdom I) - Lion Shield, Helmet"
"fig-000185","Policeman, Black Jacket with Pocket and Badge, White Hat, Smile"
"fig-000186","Sherry Scratchen-Post (CMF)"
"fig-000187","Paramedic, Vibrant Yellow Safety Vest, Dark Turquoise Legs, Dark Brown Hair"
"fig-000188","Olivia - Magenta Top, Dark Blue Shorts"
"fig-000189","Flexible Gymnast, Team GB (CMF)"
"fig-000190","Rebel Trooper in Hoth Uniform, Tan Hat, Moustache"
"fig-000191","Troll Warrior 3 (Orc)"
"fig-000192","Emma - Lavender Top, Bright Light Blue Skirt"
"fig-000193","Slithraa"
"fig-000194","Spaceman (2447 Visor)"
"fig-000195","Harry Cane"
"fig-000196","TIE Pilot, Plain Legs, Plain Black Head (30408 Helmet)"
